f	d	N	Distance	Dual Distance	Optimal	Optimal Dual	Relator	Dual Relator
3.	7.	84.	4.	8.	1.	1.	b^-2*a^-1*b*a^-1*b^-1*a*b*(a*b^-1)^2*b^-1*a^-1*b^3*a^-1*(a^-1*b^-1)^2*a*(a*b)^2*a^-1*b^2*a^-2 	a*(a*b^-1)^2*a^-2*b*(b*a^-1)^2*a^-1*(a^-1*b^-1)^2*a^-2*(b*a)^2*b^-2*a^-2*b^-1*a 
3.	7.	252.	6.	14.	1.	1.	b^-1*a*b^3*a^-1*b^3*a*(b^-1*a*b^-2)^2*a*b*a^-1	b^-1*a*b^3*a^-1*b^3*a*(b^-1*a*b^-2)^2*a*b*a^-1
3.	7.	546.	7.	14.	1.	0.	b^-2*a^-2*b^-1*(b^-1*a)^2*(b^2*a^-1)^2*b*a*(a*b^-2)^2*a 	b^-2*a^-2*b^-1*(b^-1*a)^2*(b^2*a^-1)^2*b*a*(a*b^-2)^2*a 
3.	7.	546.	-	15.	1.	1.	(b^2*a^2)^2*b^3*a*b*(b^4*a^2)^2*(b^2*a^2)^2*b 	-
3.	7.	672.	8.	16.	1.	1.	(a*b^-1)^2*b^-1*a^-1*b*a*(a*b^-2)^2*a*b^3*a^2*b^3*a^-1*b^2*a*b^-2	(a*b^-1)^2*b^-1*a^-1*b*a*(a*b^-2)^2*a*b^3*a^2*b^3*a^-1*b^2*a*b^-2
3.	7.	4914.	10.	24.	1.	1.	a*b^-1*a^3*b^-1*(b^-1*a)^2*b^-2*(a^2*b^2)^2*b*a^-1*b^-3*a*b^3*a*b^-1*a^-1*b*a^-1*b^-2*a*b^-2*(a^-1*b)^2*b^2	a*b^-1*a^3*b^-1*(b^-1*a)^2*b^-2*(a^2*b^2)^2*b*a^-1*b^-3*a*b^3*a*b^-1*a^-1*b*a^-1*b^-2*a*b^-2*(a^-1*b)^2*b^2
3.	7.	5376.	12.	24.	1.	0.	b^-1*a*b*a^-1*b^-3*a*b^-1*a^-2*b^-3*a^-1*b^2*a*b^-2*(a^-1*b)^2*b*(a*b^-1)^3*b^-2*a^-1*b^2*a^-1*b^-1*a^2*b^-1*a^-2*b^-1*a^-1*b*a 	b^-1*a*b*a^-1*b^-3*a*b^-1*a^-2*b^-3*a^-1*b^2*a*b^-2*(a^-1*b)^2*b*(a*b^-1)^3*b^-2*a^-1*b^2*a^-1*b^-1*a^2*b^-1*a^-2*b^-1*a^-1*b*a 
3.	8.	96.	4.	10.	1.	1.	b*a^2*b*a^-1*b^4*a*b^-2*a^-1*b^2 	b*a^2*b*a^-1*b^4*a*b^-2*a^-1*b^2 
3.	8.	216.	5.	12.	1.	1.	b*a^-1*b^-1*a*b^2*(b*a^-1)^2*b^2*a*b^-1*(b^-1*a)^2*b	b*a^-1*b^-1*a*b^2*(b*a^-1)^2*b^2*a*b^-1*(b^-1*a)^2*b
3.	8.	504.	6.	14.	1.	1.	b^-1*a*b^2*a^2*b^-1*a*b^3*a*b^-1*(b^-1*a)^2*b^-2*a^-1*b^2*a	b^-1*a*b^2*a^2*b^-1*a*b^3*a*b^-1*(b^-1*a)^2*b^-2*a^-1*b^2*a
3.	8.	768.	6.	16.	0.	1.	a*b^-2*a^-1*b*a*b^-2*a^2*b^3*a^-1*b*a^2*b^-2*a^-1*b*(b*a^-1)^2*b*a*b^-1	a*b^-2*a^-1*b*a*b^-2*a^2*b^3*a^-1*b*a^2*b^-2*a^-1*b*(b*a^-1)^2*b*a*b^-1
3.	8.	2016.	8.	18.	1.	1.	b^-1*a*b^-3*a^-2*b^-2*(b^-1*a)^3*b^-2*a^-1*b^-1*(a^-1*b^2)^2*a*b^-2*a*b^-1*a^-1*b*a*b^3*a^-2*b^4*a*b^-1*a^3 	b^-1*a*b^-3*a^-2*b^-2*(b^-1*a)^3*b^-2*a^-1*b^-1*(a^-1*b^2)^2*a*b^-2*a*b^-1*a^-1*b*a*b^3*a^-2*b^4*a*b^-1*a^3 
3.	8.	6000.	8.	22.	0.	1.	(a*b^-1)^2*b^-1*a^-1*b*a^-1*b^-2*a^-1*b*a*b^-1*a*b*a^-1*(b^-2*a)^3*b^2*a^2*b^-2*a^2*b^-1*a^-1*b^-1*a*b^-1*a^-1*b^2*a*b^-2 	(a*b^-1)^2*b^-1*a^-1*b*a^-1*b^-2*a^-1*b*a*b^-1*a*b*a^-1*(b^-2*a)^3*b^2*a^2*b^-2*a^2*b^-1*a^-1*b^-1*a*b^-1*a^-1*b^2*a*b^-2 
3.	8.	16848.	9.	20.	1.	0.	a*b^-2*a*b*a^-1*b^-1*a*b^-5*a^-1*b^2*a^2*b^-4*a^-2*b^2*a^-1*b^-3*a*b*a^3*(b^-1*a^-1)^2*b^4*a^2*b^-1*a^-1*b^-1*a*b^-1*a^-2*b^-1*a*b^-1 	a*b^-2*a*b*a^-1*b^-1*a*b^-5*a^-1*b^2*a^2*b^-4*a^-2*b^2*a^-1*b^-3*a*b*a^3*(b^-1*a^-1)^2*b^4*a^2*b^-1*a^-1*b^-1*a*b^-1*a^-2*b^-1*a*b^-1 
3.	8.	18216.	10.	24.	1.	1.	b*a^-2*b^-1*a^2*b*a*b^-2*a^-1*b*(b*a)^2*a*b^-1*a^-1*(a^-1*b)^2*a^-1*b^-2*a*b*a*b^-1*(a^-1*b)^2*a^-1*b^-1*(b^-1*a)^2*a*b^2*(a*b^-2)^2*a*b*a^-1*b^-1*a^-1	b*a^-2*b^-1*a^2*b*a*b^-2*a^-1*b*(b*a)^2*a*b^-1*a^-1*(a^-1*b)^2*a^-1*b^-2*a*b*a*b^-1*(a^-1*b)^2*a^-1*b^-1*(b^-1*a)^2*a*b^2*(a*b^-2)^2*a*b*a^-1*b^-1*a^-1
3.	8.	57624.	-	26.	1.	1.	-	a*(a*b^4)^2*b^3*a*b*((b^5*a*b^2)^2*b^4*a*b^7*a)^2*(b^7*a)^2*(b^4*a*b^2)^2 
4.	5.	160.	6.	8.	1.	1.	a^2*b^-2*(a*b^-1*a*b^2)^2*b 	a^2*b^-2*(a*b^-1*a*b^2)^2*b 
4.	5.	360.	8.	8.	1.	0.	a*b^-1*a*b*a^-1*b^-2*a^2*b^-1*a*b^2*a*b^-1*a	a*b^-1*a*b*a^-1*b^-2*a^2*b^-1*a*b^2*a*b^-1*a
4.	5.	660.	8.	10.	0.	1.	a*b*a^-1*b^-1*(b^-1*a)^2*a*b^2*a^-1*b*(a*b^-1)^2*b^-2*a^2*b^-1 	a*b*a^-1*b^-1*(b^-1*a)^2*a*b^2*a^-1*b*(a*b^-1)^2*b^-2*a^2*b^-1 
4.	5.	1800.	10.	10.	1.	0.	(b^-1*a^-1*b*a^-2)^2*b^-1*a^2*b*a^-1*(a^-1*b^2)^2*a^-1*b*a^2*b^-1 	(b^-1*a^-1*b*a^-2)^2*b^-1*a^2*b*a^-1*(a^-1*b^2)^2*a^-1*b*a^2*b^-1 
4.	5.	1920.	10.	12.	0.	1.	b^-1*a*b^3*(a*b^-1)^3*b^-1*a^-3*b^-2*a*b^-2*a^-1*b*a^2*b^3*a^-1*b^-1 	b^-1*a*b^3*(a*b^-1)^3*b^-1*a^-3*b^-2*a*b^-2*a^-1*b*a^2*b^3*a^-1*b^-1 
4.	5.	3420.	10.	14.	0.	1.	a^2*b^3*(a*b^-1*a)^2*b^-1*a^-1*b*a*b^-1*a^2*b^-1*a^-3*b*a^-1*b^-1*(b^-1*a)^2*b*a^2*b^-1	a^2*b^3*(a*b^-1*a)^2*b^-1*a^-1*b*a*b^-1*a^2*b^-1*a^-3*b*a^-1*b^-1*(b^-1*a)^2*b*a^2*b^-1
4.	5.	4860.	12.	12.	1.	0.	(b*a)^2*b^-2*a^-1*b*a^-1*(b^-1*a)^2*a*b^2*a^-2*b^-3*a^-2*(b^-2*a)^2*b^-3*a^4*(b*a^-1*b)^2*b^2*a 	(b*a)^2*b^-2*a^-1*b*a^-1*(b^-1*a)^2*a*b^2*a^-2*b^-3*a^-2*(b^-2*a)^2*b^-3*a^4*(b*a^-1*b)^2*b^2*a 
4.	5.	17100.	14.	16.	1.	1.	a*b^2*a^-1*(b^-1*a)^2*b^3*a*b^-1*a^2*b^-3*a*(b^-1*a^-2*b^-1)^2*b^-2*a^2*b^-1*a^-3*b^2*a^-1*b^-1 	a*b^2*a^-1*(b^-1*a)^2*b^3*a*b^-1*a^2*b^-3*a*(b^-1*a^-2*b^-1)^2*b^-2*a^2*b^-1*a^-3*b^2*a^-1*b^-1 
4.	5.	29400.	14.	17.	0.	1.	a^-2*b^-1*a^2*b^-2*a*b^-1*a^-1*b*a*b^-2*a^2*b^-1*(a^-1*b)^2*a*b^-1*a^-2*(b*a)^2*b*a^-1*b^-1*(b^-1*a^2)^2*b^2*a*b^-1*a^2*b^-3*a^-1 	a^-2*b^-1*a^2*b^-2*a*b^-1*a^-1*b*a*b^-2*a^2*b^-1*(a^-1*b)^2*a*b^-1*a^-2*(b*a)^2*b*a^-1*b^-1*(b^-1*a^2)^2*b^2*a*b^-1*a^2*b^-3*a^-1 
4.	5.	58800.	14.	18.	0.	1.	a*b*(b*a^3)^2*b^-2*a*b^-2*a^-1*b^-2*(b^-1*a^2)^2*a^2*b^-1*a^-1*b^2*a*b^2*a^-1*b^-1*a^-1*(a^-1*b)^2*a^-1*b^-3*a^-2*b*a^2	a*b*(b*a^3)^2*b^-2*a*b^-2*a^-1*b^-2*(b^-1*a^2)^2*a^2*b^-1*a^-1*b^2*a*b^2*a^-1*b^-1*a^-1*(a^-1*b)^2*a^-1*b^-3*a^-2*b*a^2
4.	6.	336.	6.	8.	1.	1.	b^-2*a^-2*b^2*a^-1*b^-2*a*b^2*(a*b^-1)^2 	b^-2*a^-2*b^2*a^-1*b^-2*a*b^2*(a*b^-1)^2 
4.	6.	660.	6.	9.	0.	1.	b^-1*a^-2*b^-2*a*b^-1*a^-3*b^-2*(b^-1*a)^3*b^2*a	b^-1*a^-2*b^-2*a*b^-1*a^-3*b^-2*(b^-1*a)^3*b^2*a
4.	6.	720.	8.	8.	1.	0.	a^-1*b^-1*a*b*a^-1*b^3*a*b^-1*a*b^3*a^2*b^2*a^-1*b^2*a*b^-1*a^3	a^-1*b^-1*a*b*a^-1*b^3*a*b^-1*a*b^3*a^2*b^2*a^-1*b^2*a*b^-1*a^3
4.	6.	864.	8.	10.	0.	1.	a*b^-3*a^-1*b*a*b^-1*a^2*b^3*a^-2*b^2*a 	a*b^-3*a^-1*b*a*b^-1*a^2*b^3*a^-2*b^2*a 
4.	6.	2448.	8.	12.	0.	1.	b*a*b^-1*a^-3*(b^-1*a*b^-2)^2*a^3*(b*a^-1)^2*b^-2*a^-1*b^2*a^-1 	b*a*b^-1*a^-3*(b^-1*a*b^-2)^2*a^3*(b*a^-1)^2*b^-2*a^-1*b^2*a^-1 
4.	6.	6144.	10.	12.	1.	0.	a^-1*b*a^-1*b^-1*a*b^3*a*b^-1*a^2*(b*a^-1*b)^2*a^-2*b^-1*a^2*b^2*(a*b^-1*a^2)^2*b*a^-2*b^-2 	a^-1*b*a^-1*b^-1*a*b^3*a*b^-1*a^2*(b*a^-1*b)^2*a^-2*b^-1*a^2*b^2*(a*b^-1*a^2)^2*b*a^-2*b^-2 
4.	6.	8640.	8.	14.	0.	1.	b^2*a^-1*b^2*a*b^-1*a^-2*b^-2*a^-1*b*a^-1*b^-1*a^-3*b^2*a^2*b^2*a^-1*b*a*b^3*a^-1*b^-1*a^-2	b^2*a^-1*b^2*a*b^-1*a^-2*b^-2*a^-1*b*a^-1*b^-1*a^-3*b^2*a^2*b^2*a^-1*b*a*b^3*a^-1*b^-1*a^-2
4.	6.	46656.	12.	12.	1.	0.	b^2*a*(a*b)^2*a^-3*(b*a^2)^2*b*a^-1*b^-2*a*b^5*a*b^2*a^-7*b^-1*a*b^2*a^-1*b^-2*a*b^-3*a^-1*b^-2*a*b^-1*a^-1*b^-1	b^2*a*(a*b)^2*a^-3*(b*a^2)^2*b*a^-1*b^-2*a*b^5*a*b^2*a^-7*b^-1*a*b^2*a^-1*b^-2*a*b^-3*a^-1*b^-2*a*b^-1*a^-1*b^-1
4.	6.	58800.	11.	15.	0.	1.	b*(a*b^-1)^2*b^-2*a^-1*b*a^3*b*a^-1*b^2*a^-2*b^4*a^-1*b^-1*a^2*b^2*a^-3*b^2*a^-1*b*a*b^-3*a^2*b	b*(a*b^-1)^2*b^-2*a^-1*b*a^3*b*a^-1*b^2*a^-2*b^4*a^-1*b^-1*a^2*b^2*a^-3*b^2*a^-1*b*a*b^-3*a^2*b
4.	7.	896.	6.	8.	1.	1.	(a^-2*b^-1*a*b^-1)^2*b^-1*a*b^-2*a*b^-1 	(a^-2*b^-1*a*b^-1)^2*b^-1*a*b^-2*a*b^-1 
4.	7.	1092.	-	10.	1.	1.	-	b^6*a*b^2*(a*b*a)^23*((a*b^4)^2*b)^2*b*a*b^2 
4.	7.	2688.	6.	11.	0.	1.	(a*b^-2)^2*a*b^-1*a*b*(b*a^-1)^2*b^-1*a*b^-1*a^-1*b^2	(a*b^-2)^2*a*b^-1*a*b*(b*a^-1)^2*b^-1*a*b^-1*a^-1*b^2 
4.	7.	5376.	6.	12.	0.	1.	b^2*a*b^-1*(b^-1*a)^2*a*b^-1*a^-1*(a^-1*b)^3*b*a^-1*b^-1*a*b^-2*a 	b^2*a*b^-1*(b^-1*a)^2*a*b^-1*a^-1*(a^-1*b)^3*b*a^-1*b^-1*a*b^-2*a 
4.	7.	7644.	8.	10.	1.	0.	b*a^-1*b^-1*a*b^2*a^-1*b^2*a^2*b^2*(a*b^-1)^2*a 	b*a^-1*b^-1*a*b^2*a^-1*b^2*a^2*b^2*(a*b^-1)^2*a
4.	7.	12180.	8.	13.	0.	1.	b*a*b^-2*a^2*b^3*a^2*b^2*a^-1*b*a*b^-1*a^2*b*a*b^-1*(a*b^-2*a)^2 	b*a*b^-2*a^2*b^3*a^2*b^2*a^-1*b*a*b^-1*a^2*b*a*b^-1*(a*b^-2*a)^2 
4.	7.	39732.	10.	10.	1.	0.	b^3*a*b*a^-2*b*a*b^-1*a^2*b^-1*a^-2*b*a^-1*b^-2*(a^-2*b^-1*a^-1)^2*(b^-1*a^-1)^2*a^-1*b*a^2*b^2*a^-2*b 	b^3*a*b*a^-2*b*a*b^-1*a^2*b^-1*a^-2*b*a^-1*b^-2*(a^-2*b^-1*a^-1)^2*(b^-1*a^-1)^2*a^-1*b*a^2*b^2*a^-2*b
4.	7.	58240.	8.	14.	0.	1.	a^-2*b*a*b^4*a^-2*b^-1*a^-1*b*(a*b^-2)^2*a^2*b*a^-1*b*(b*a)^2*b^-4*a^-2*b*a^-2*b^-1*a^4 	a^-2*b*a*b^4*a^-2*b^-1*a^-1*b*(a*b^-2)^2*a^2*b*a^-1*b*(b*a)^2*b^-4*a^-2*b*a^-2*b^-1*a^4 
5.	5.	80.	5.	5.	1.	1.	b*(a*b^-1)^2*b^-1*a^-2*b*a^-1 	b*(a*b^-1)^2*b^-1*a^-2*b*a^-1 
5.	5.	150.	6.	6.	1.	1.	b*a^2*b^2*a*b^-1*a^-2*b^-2*a^-1, b*(a*b^-1)^3*(a^-1*b)^2*a^-1	b*a^2*b^2*a*b^-1*a^-2*b^-2*a^-1, b*(a*b^-1)^3*(a^-1*b)^2*a^-1
5.	5.	900.	8.	8.	1.	1.	(a*b^-1)^2*a*b*a^-1*b^-1*(a^-1*b*a^-1)^2*b*a^-1*b^-3*a	(a*b^-1)^2*a*b*a^-1*b^-1*(a^-1*b*a^-1)^2*b*a^-1*b^-3*a
5.	5.	4800.	10.	10.	1.	1.	(a^-1*b)^2*a^3*b^3*a*b^-1*a^-2*(b^-1*a)^2*(b*a^-1)^2*b 	(a^-1*b)^2*a^3*b^3*a*b^-1*a^-2*(b^-1*a)^2*(b*a^-1)^2*b 
5.	5.	15360.	11.	11.	1.	1.	b^-1*a*(b^-1*a*b^-1)^2*a^-1*b^2*a^2*b^2*a^-2*b^3*a*b^-3*a^2	b^-1*a*(b^-1*a*b^-1)^2*a^-1*b^2*a^2*b^2*a^-2*b^3*a*b^-3*a^2
5.	5.	29120.	12.	12.	1.	1.	b*a^-2*(b^-1*a)^2*b*a^-1*b*(b*a)^4*b^-1*a^-1*b*(b^2*a^-1)^2*a^-1*b^2*(b*a^-1)^2*b^-1*a*b^-2*a^-1*(b*a)^2*b*a^-1*b^-1	b*a^-2*(b^-1*a)^2*b*a^-1*b*(b*a)^4*b^-1*a^-1*b*(b^2*a^-1)^2*a^-1*b^2*(b*a^-1)^2*b^-1*a*b^-2*a^-1*(b*a)^2*b*a^-1*b^-1
5.	6.	960.	6.	7.	1.	1.	b^2*a^2*b^2*a^-2*b^-1*a^2*b^2*a^-2	b^2*a^2*b^2*a^-2*b^-1*a^2*b^2*a^-2
5.	6.	2520.	6.	8.	0.	1.	a*b^2*a^-2*b*a*b^-1*a^2*b^2*a^-1*b^2*a^2*b*a*b^-1*a^-1*b^2*a^2 	a*b^2*a^-2*b*a*b^-1*a^2*b^2*a^-1*b^2*a^2*b*a*b^-1*a^-1*b^2*a^2 
5.	6.	3840.	8.	8.	1.	0.	(a^-1*b)^2*a*b^-1*(a^-1*b)^3*a^2*b^2 	(a^-1*b)^2*a*b^-1*(a^-1*b)^3*a^2*b^2 
5.	6.	4800.	8.	10.	0.	1.	a^-1*b^-2*a^-2*b^3*a^-1*b*(a*b^-1)^2*b^-1*a^2*b*a*b^-1*a^2*b^3 	a^-1*b^-2*a^-2*b^3*a^-1*b*(a*b^-1)^2*b^-1*a^2*b*a*b^-1*a^2*b^3 
5.	7.	1260.	6.	6.	1.	1.	b^-1*a*b^2*a^-1*b^-2*a^2*b^-2*a^-3 	b^-1*a*b^2*a^-1*b^-2*a^2*b^-2*a^-3 
5.	7.	6090.	6.	6.	0.	0.	a*b*a^3*b^-1*a*b*a^-1*b*a*b^-1*a^2*b^-1	a*b*a^3*b^-1*a*b*a^-1*b*a*b^-1*a^2*b^-1